CONTENT ID,TYPE,DATETIME,CONTENT TYPE,SENTIMENT,CATEGORY,SCORE,,,,,,,CATEGORY,TOTAL SCORES
07f88a73-aef2-45fd-8b5d-418e448b853d,cherish,12-03-2021 16:22,GIF,positive,animals,70,,,,,,,animals,74965
07f88a73-aef2-45fd-8b5d-418e448b853d,intrigued,17-10-2020 10:20,GIF,positive,animals,45,,,,,,,science,71168
07f88a73-aef2-45fd-8b5d-418e448b853d,like,19-12-2020 16:42,GIF,positive,animals,50,,,,,,,healthy eating,69339
07f88a73-aef2-45fd-8b5d-418e448b853d,love,31-05-2021 05:46,GIF,positive,animals,65,,,,,,,technology,68738
07f88a73-aef2-45fd-8b5d-418e448b853d,hate,27-12-2020 03:37,GIF,negative,animals,5,,,,,,,food,66676
07f88a73-aef2-45fd-8b5d-418e448b853d,scared,24-05-2021 20:32,GIF,negative,animals,15,,,,,,,,
07f88a73-aef2-45fd-8b5d-418e448b853d,hate,19-01-2021 22:28,GIF,negative,animals,5,,,,,,,,
07f88a73-aef2-45fd-8b5d-418e448b853d,cherish,02-03-2021 14:45,GIF,positive,animals,70,,,,,,,,
07f88a73-aef2-45fd-8b5d-418e448b853d,adore,12-02-2021 16:37,GIF,positive,animals,72,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,scared,07-03-2021 21:09,photo,negative,animals,15,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,heart,26-02-2021 15:56,photo,positive,animals,60,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,interested,18-08-2020 11:20,photo,positive,animals,30,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,heart,05-09-2020 14:57,photo,positive,animals,60,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,hate,17-01-2021 07:54,photo,negative,animals,5,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,peeking,21-02-2021 09:04,photo,neutral,animals,35,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,peeking,30-05-2021 15:52,photo,neutral,animals,35,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,super love,28-12-2020 01:10,photo,positive,animals,75,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,intrigued,21-09-2020 00:46,photo,positive,animals,45,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,interested,01-11-2020 09:17,photo,positive,animals,30,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,interested,06-06-2021 09:10,photo,positive,animals,30,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,scared,17-08-2020 15:57,photo,negative,animals,15,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,heart,17-07-2020 01:30,photo,positive,animals,60,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,disgust,21-08-2020 04:21,photo,negative,animals,0,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,hate,21-03-2021 01:26,photo,negative,animals,5,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,indifferent,26-09-2020 00:09,photo,neutral,animals,20,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,love,03-03-2021 00:12,photo,positive,animals,65,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,heart,17-11-2020 16:28,photo,positive,animals,60,,,,,,,,
0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,scared,03-05-2021 02:28,photo,negative,animals,15,,,,,,,,
